country,system,status,count
Russia,9A331M TLAR (for 9K332 Tor-M2),destroyed,1
Russia,9A39M1 TEL (for Buk-M1-2),destroyed,1
Russia,9A39M2 TEL (for Buk-M2),destroyed,1
Russia,9K33 Osa,abandoned,1
Russia,9K33 Osa,captured,2
Russia,9K33 Osa,damaged,1
Russia,9K33 Osa,destroyed,2
Russia,9K333 Verba,captured,1
Russia,9K35 Strela-10,abandoned,3
Russia,9K35 Strela-10,captured,1
Russia,9K38 Igla,captured,2
Russia,9M111 Fagot,captured,3
Russia,9M113 Konkurs,captured,14
Russia,9M113M Konkurs-M,captured,1
Russia,9M114 Kokon,captured,1
Russia,9P149 Shturm-S ATGM carrier,abandoned,1
Russia,9P149 Shturm-S ATGM carrier,destroyed,1
Russia,9S18М1(-3) (for Buk-M3),destroyed,1
Russia,9T217 transloader (for 9K33 Osa),captured,1
Russia,9T217 transloader (for 9K33 Osa),destroyed,1
Russia,9T452 transporter-loader (for BM-27 'Uragan' MRL),destroyed,1
Russia,An-26 transport aircraft,destroyed,1
Russia,Barnaul-T 9С932-1 automated system for air defence units,abandoned,1
Russia,Barnaul-T 9С932-1 automated system for air defence units,captured,2
Russia,BAT-2 heavy engineering vehicle,destroyed,1
Russia,BMD-2,abandoned,4
Russia,BMD-2,captured,24
Russia,BMD-2,damaged,2
Russia,BMD-2,destroyed,14
Russia,BMD-4M,abandoned,1
Russia,BMD-4M,captured,6
Russia,BMD-4M,destroyed,4
Russia,BMP-1(P),captured,6
Russia,BMP-1(P),destroyed,7
Russia,BMP-1Khs,abandoned,1
Russia,BMP-2,abandoned,8
Russia,BMP-2,captured,16
Russia,BMP-2,damaged,5
Russia,BMP-2,destroyed,31
Russia,BMP-2K,abandoned,1
Russia,BMP-3,captured,8
Russia,BMP-3,damaged,1
Russia,BMP-3,destroyed,9
Russia,BREM-1 armoured recovery vehicle,captured,1
Russia,BREM-Ch ''BREM-4'' armoured recovery vehicle,captured,1
Russia,BREM-K armoured recovery vehicle,captured,2
Russia,BRM-1K,destroyed,3
Russia,BTR-80,abandoned,3
Russia,BTR-80,captured,16
Russia,BTR-80,damaged,1
Russia,BTR-80,destroyed,14
Russia,BTR-82A,abandoned,4
Russia,BTR-82A,captured,7
Russia,BTR-82A,damaged,2
Russia,BTR-82A,destroyed,12
Russia,BTR-D,abandoned,8
Russia,BTR-D,captured,10
Russia,BTR-D,destroyed,5
Russia,BTR-D APC with UR-67 mine clearing charge,captured,1
Russia,BTR-MDM 'Rakushka',captured,4
Russia,BTR-ZD 'Skrezhet',captured,1
Russia,E95M target drone (likely used as unmanned bait in order for Ukraine to reveal the location of air defence systems),captured,1
Russia,Eleron-3 reconnaissance UAV,captured,2
Russia,Forpost reconnaissance UAV,destroyed,1
Russia,Fuel train,destroyed,2
Russia,GAZ-3308,abandoned,2
Russia,GAZ-66,captured,3
Russia,GAZ Sobol,abandoned,1
Russia,GAZ Sobol,destroyed,1
Russia,GAZ Tigr-M,abandoned,1
Russia,GAZ Tigr-M,captured,12
Russia,GAZ Tigr-M,damaged,1
Russia,GAZ Tigr-M,destroyed,15
Russia,GMZ-3 minelayer,captured,1
Russia,IMR-2 combat engineering vehicle,abandoned,1
Russia,IMR-2 combat engineering vehicle,destroyed,1
Russia,Iveco LMV 'Rys',abandoned,1
Russia,Iveco LMV 'Rys',captured,1
Russia,Iveco LMV 'Rys',destroyed,4
Russia,K-4386 Typhoon-VDV,destroyed,1
Russia,K-53949 'Linza',captured,1
Russia,K-53949 Typhoon-K,abandoned,1
Russia,K-53949 Typhoon-K,captured,1
Russia,Ka-52 'Alligator' attack helicopter,damaged,2
Russia,Ka-52 'Alligator' attack helicopter,destroyed,2
Russia,KamAZ-5350 with crane,destroyed,1
Russia,KamAZ-5350 with EOV-3523 excavator,captured,3
Russia,KamAZ-5350 with EOV-3523 excavator,destroyed,2
Russia,KamAZ-5350 with KS-45719-7M crane,destroyed,1
Russia,KamAZ-6350 8x8 artillery tractor,damaged,2
Russia,KamAZ-6350 8x8 artillery tractor,destroyed,2
Russia,KamAZ-63968 'Typhoon',captured,2
Russia,KamAZ-63968 'Typhoon',destroyed,1
Russia,KamAZ 4x4,abandoned,1
Russia,KamAZ 4x4,captured,1
Russia,KamAZ 6x6,abandoned,14
Russia,KamAZ 6x6,captured,46
Russia,KamAZ 6x6,damaged,6
Russia,KamAZ 6x6,destroyed,64
Russia,KamAZ Avtozaks,captured,1
Russia,KamAZ Avtozaks,destroyed,2
Russia,KamAZ with armoured cabin,abandoned,1
Russia,KamAZ with armoured cabin,destroyed,1
Russia,Mi-24V/P attack helicopter,destroyed,2
Russia,Mi-28 attack helicopter,destroyed,1
Russia,Mi-35M attack helicopter,destroyed,2
Russia,Mi-8 transport helicopter,destroyed,3
Russia,MP-2IM signals vehicle,abandoned,1
Russia,MT-LB,abandoned,12
Russia,MT-LB,captured,36
